Sr No,date,startup,vertical,subvertical,city,investors,round,amount
378,2018-02-16,Fincash,Finance,Fin-Tech,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed / Angel Funding,1.245
379,2018-02-19,AyeFinance,Finance,Online Lending,Gurugram,"Hinduja Leyland Finance, IntelleGrow",Private Equity,31.54
380,2018-02-20,Agricxlab,Agriculture,Agri-tech,Mumbai,Ankur Capital,Seed / Angel Funding,4.15
381,2018-02-21,Udaan,E-Commerce,B2B Marketplace,Bengaluru,Lightspeed & Yuri Milner,Private Equity,415.0
382,2018-02-21,Capillary,IT,SaaS,Bengaluru,"Wargburg Pincus, Sequoia",Private Equity,166.0
383,2018-02-21,The Healthy Billions,Healthcare,Analytics,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,17.43
385,2018-02-26,Avishkaar Box,Ed-Tech,Education,Delhi,Auxano Deals,Private Equity,6.412
386,2018-02-26,Planys Technologies,Technology,Robotic InspectionStartup,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,8.632
388,2018-02-27,Trilyo,Technology,AI platform for hospitality industry,Mumbai,"Startup Buddy,Amit Manocha and others",Seed / Angel Funding,2.075
389,2018-02-28,Gaana,Technology,Online Music Streaming,Gurugram,"Tencent Holdings Ltd, Times Internet",Private Equity,954.5
390,2018-02-28,Credy,IT,SaaS,Bengaluru,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed / Angel Funding,11.62
393,2018-04-01,EarlySalary,Finance,Online Lending,Pune,Eight Roads Ventures India,Private,130.31
396,2018-09-01,Lendingkart,Finance,Online Lending,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,39.01
398,2018-10-01,Tapzo,Technology,Personal Assistant,Bengaluru,RuNet & Other,Private Equity,16.019
399,2018-10-01,Appario Retail Pvt Ltd.,E-commerce,Retail,Delhi,Amazon-Patni JV,Private Equity,156.372
400,2018-10-01,Samunnati,Finance,Agricultural Loan,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,195.05
401,2018-10-01,Sahajanand Medical Technologies,Technology,Medical Devices,Surat,Morgan Stanley Private Equity Asia,Private Equity,300.709
